No.,Time,Source,Destination,Length,Protocol,TCP Delta,Sequence Number,TCP Segment Len,ACK,Calculated window size,Bytes in flight,Info,Phase
138,1.199264,192.168.10.184,192.168.10.196,1514,iPerf3,0,173778,1460,1,262144,45260,52343  >  5201[BoundErrorUnreassembled Packet],
139,1.199265,192.168.10.184,192.168.10.196,1514,iPerf3,0.000001,175238,1460,1,262144,46720,52343  >  5201[BoundErrorUnreassembled Packet],
140,1.199266,192.168.10.184,192.168.10.196,1514,iPerf3,0.000001,176698,1460,1,262144,48180,52343  >  5201[BoundErrorUnreassembled Packet],
141,1.200582,192.168.10.196,192.168.10.184,54,TCP,0.001316,1,0,147498,212992,,5201  >  52343 [ACK] Seq=1 Ack=147498 Win=212992 Len=0,
142,1.200727,192.168.10.184,192.168.10.196,1514,iPerf3,0.000145,178158,1460,1,262144,32120,52343  >  5201[BoundErrorUnreassembled Packet],
143,1.200728,192.168.10.184,192.168.10.196,1514,iPerf3,0.000001,179618,1460,1,262144,33580,52343  >  5201[BoundErrorUnreassembled Packet],
144,1.200729,192.168.10.184,192.168.10.196,1514,iPerf3,0.000001,181078,1460,1,262144,35040,52343  >  5201[BoundErrorUnreassembled Packet],
145,1.20073,192.168.10.184,192.168.10.196,1514,iPerf3,0.000001,182538,1460,1,262144,36500,52343  >  5201[BoundErrorUnreassembled Packet],
146,1.20073,192.168.10.184,192.168.10.196,1514,iPerf3,0,183998,1460,1,262144,37960,52343  >  5201[BoundErrorUnreassembled Packet],
147,1.200731,192.168.10.184,192.168.10.196,1514,iPerf3,0.000001,185458,1460,1,262144,39420,52343  >  5201[BoundErrorUnreassembled Packet],
148,1.200732,192.168.10.184,192.168.10.196,1514,iPerf3,0.000001,186918,1460,1,262144,40880,52343  >  5201[BoundErrorUnreassembled Packet],
149,1.200732,192.168.10.184,192.168.10.196,1514,iPerf3,0,188378,1460,1,262144,42340,52343  >  5201[BoundErrorUnreassembled Packet],
150,1.200733,192.168.10.184,192.168.10.196,1514,iPerf3,0.000001,189838,1460,1,262144,43800,52343  >  5201[BoundErrorUnreassembled Packet],
151,1.200734,192.168.10.184,192.168.10.196,1514,iPerf3,0.000001,191298,1460,1,262144,45260,52343  >  5201[BoundErrorUnreassembled Packet],
152,1.200734,192.168.10.184,192.168.10.196,1514,iPerf3,0,192758,1460,1,262144,46720,52343  >  5201[BoundErrorUnreassembled Packet],
